Код,Текст,Название файла,заметка,
RR73,"Вы стучите в дверь дома №73 на Roverbank Road. Через несколько секунд она открывается, и перед вами появляется школьница лет 13-14. Она смотрит на вас немного настороженно.

— Здравствуйте… — говорит она неуверенно.

Вы объясняете, что ведёте расследование по делу Эшли Джонсон, которая пропала без вести. Спрашиваете, дома ли её родители.

— Нет, мама с папой на работе. Они работают 2 через 2, так что не всегда бывают дома.

Она чуть сильнее приоткрывает дверь, слушая вас внимательно.

— Эшли? Да, я знаю её… Но мы почти не знакомы. Так, видела пару раз в школе, но мы не особо общаемся.

Вы спрашиваете, не видела ли она что-то необычное вчера вечером, возможно, Эшли или кого-то, кто мог быть с ней.

Девочка задумывается, кусает губу, а потом вдруг резко поднимает на вас взгляд.

— Ой… знаете, я вспомнила.

Она нервно хмыкает и поправляет рукав кофты.

— Вчера вечером я слышала какие-то крики. Со стороны старого моста.

Вы тут же уточняете время.

— Точно не скажу… Было уже поздно, я как раз ложилась спать. Может, около восьми или чуть позже?

Она пожимает плечами.

— Я не подумала, что это что-то серьёзное… Ну, мало ли, может, кто-то просто ругался. Я и в полицию не сообщила.

Вы записываете её слова. Время не ждет.",,rr73 узнать видели ли эшли на  - слышали крики на старом мосту,"Приблизившись, вы замечаете священника, поливающего растения. Это отец Бенджамин, мужчина средних лет с добрым лицом и спокойным голосом. Он замечает вас, вытирает руки о передник и учтиво здоровается:"
,,,"rr1 - старый мост с лужами крови, по пятнам крови понятно что в реку сбросили ",
,,,"rr333 - малый парк, намек на то что какая-то хуета на реке лежит","— Мир вам, господа. С чем пожаловали в дом Господень?"
,,,"sss333 - большой парк (открыт после реконструкции), там 3-й сайд",
,,,ms1 - чел ловит рыбу сайд квест,"Вы представляете себя и объясняете, что ведёте расследование. Не успеваете уточнить деталей, как священник слегка кивает, опуская взгляд."
,,,"sr - мощное течение в сторону острова блек форк. заросший травой остров на который никто не плавает, но вы находите схрон наркотиков и на берегу крассный кроссовок, его явно прибило течением ",
,,,bf - труп эшли,"— Ах, конечно. Я наверняка знаю, зачем вы пришли."
,,,"wps17 - причал (3 рыбака, один на острове блэк форк, другой пошел на новый мост рыбачить), что-то нашли на блек форке и сказали вызвать полицию",
,,,,Он ставит лейку на каменный бортик клумбы и с лёгким вздохом смотрит на вас.
,,,,
,,,,"— Вы о девочке, Эшли Джонсон. Её мать была здесь. Приходила помолиться за её возвращение."
,,,,
,,,,"Его голос мягкий, но в нём слышится грусть."
,,,,
,,,,"— Всякое случается, дети теряются в этом мире, увлекаются суетой, но Господь ведёт каждого из нас по Своему пути. Я надеюсь, что ваша служба принесёт добрые вести, и она вернётся домой целой и невредимой."
,,,,
,,,,"Вы спрашиваете, не замечал ли он сам Эшли или что-то подозрительное рядом с церковью. Священник грустно качает головой."
,,,"речь про конверт 2, про расшифровку письма эшли",
,,,"дом парня mpg57 - нашли наркотики и записку, что его можно найти у друга wps19","— Увы, боюсь, я не могу ничем помочь. Если бы я видел её или знал что-то важное, первым бы сообщил её матери. К сожалению, всё, что мне остаётся, — это молиться за её благополучие."
,,,дом подруги rr12,
,,,дом друга парня wps19 - ,"Вы киваете, но вдруг что-то привлекает ваше внимание."
,,,"GKT-1 - дуб основателя нужно проверить отпечатки, вот такой то номер у них, вобьем в базу данных и посмотрим есть ли совпадения ",
,,,IT-MK сайд на взлом телефона парня - узнаем что это его переписка и это он ходил с эшли на мост,"Рядом со входом в церковь, у каменной лестницы, сидит кошка. И не просто кошка, а та самая кошка из объявления."
,,,"AS312 - дом маркоса, там мы показали фотку эшли, спросили знаем ли кто это, он сказал, что похожа на девушку британи с которой они знакомы ",
,,,,"Рыжая, пушистая, с белым пятном на груди, точно как в описании. Она не боится вас, наоборот — мягко мурлычет и тут же тянется лапками, терясь о ваши ноги. Стоит присесть, как она сразу же запрыгивает к вам на руки."
,,,,
,,,,Вы замечаете у неё медальон на ошейнике.
,,,,
,,,,На нём выгравировано:
,,,,Дуся
,,,od 10 - школа - подготовка к юбилею все украшают,"Хозяйка: Мэри Уотсон, Sycamore Street 22."
,,,rd 25 - центр отдыха - подготовка к эвакуации (там можно встретить маркоса) ,
,,,"rd 35 - можно встретить чела, который скажет что что-то не так на смол роке, постоянно туда лодка плавает утром",Священник замечает ваше удивление и с лёгкой улыбкой комментирует:
,,,,
,,,,"— Ах, этих пушистых созданий тут великое множество. Я уже сбился со счёта, сколько их тут живёт."
,,,,
,,,,Он кладёт руку на сердце и поднимает взгляд вверх.
,,,,
,,,,"— Но все мы — Божьи создания. Кому-то Он дал крылья, кому-то лапы и хвост. А нам, людям, дал сердце, чтобы заботиться о них. И скажу вам, с тех пор, как эти хвостатые ангелы облюбовали церковь, у нас наконец исчезли все крысы. Господь ведёт их, и нас с вами тоже."
